misparmb,nefashot,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,c32-39 - סך הוצאות לא מזון,F_norm Sedentary cheapest- סך הוצאה נמוכה למספר הסלים,c3~ F_norm sedentary cheapest,,,misparmb,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2,c3^,zu
28423,1,8052,887,7164,872.12,TRUE,,,28423,8052,887,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
60749,1,11851,888,10963,872.12,TRUE,,,60749,11851,888,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
24638,1,9245,892,8353,872.12,TRUE,,,24638,9245,892,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
10645,1,5737,894,4842,872.12,TRUE,,,10645,5737,894,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
25387,1,13159,902,12257,872.12,TRUE,,,25387,13159,902,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
64667,1,7336,909,6427,872.12,TRUE,,,64667,7336,909,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
74682,1,5256,910,4345,872.12,TRUE,,,74682,5256,910,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
77719,1,5264,911,4352,872.12,TRUE,,,77719,5264,911,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
41996,1,7789,925,6865,951.4,TRUE,,,41996,7789,925,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,742.38","7,742.38"
5314,1,9745,925,8820,951.4,TRUE,,,5314,9745,925,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"6,451.81","6,451.81"
3970,1,16688,934,15754,951.4,TRUE,,,3970,16688,934,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,742.38","7,742.38"
54023,1,21498,939,20557,951.4,TRUE,,,54023,21498,939,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,742.38","7,742.38"
10694,1,4581,952,3631,951.4,TRUE,,,10694,4581,952,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,742.38","7,742.38"
85100,1,8344,984,7359,951.4,TRUE,,,85100,8344,984,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,742.38","7,742.38"
44693,1,5691,995,4697,951.4,TRUE,,,44693,5691,995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,742.38","7,742.38"
88898,1,11821,997,10824,951.4,TRUE,,,88898,11821,997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"7,742.38","7,742.38"
34959,2,12917,1135,11782,"1,189.25",TRUE,,,34959,12917,1135,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"11,218.12","11,218.12"
81851,2,10764,1153,9612,"1,189.25",TRUE,,,81851,10764,1153,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"11,218.12","11,218.12"
50674,2,14578,1160,13418,"1,109.96",TRUE,,,50674,14578,1160,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"12,408.95","12,408.95"
84723,2,12679,1183,11497,"1,189.25",TRUE,,,84723,12679,1183,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"11,218.12","11,218.12"
68676,2,19590,1244,18345,"1,268.53",TRUE,,,68676,19590,1244,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"13,080.05","13,080.05"
41905,2,14722,1252,13472,"1,268.53",TRUE,,,41905,14722,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"11,192.63","11,192.63"
26377,2,6003,1276,4728,"1,268.53",TRUE,,,26377,6003,1276,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"13,080.05","13,080.05"
