misparmb,persons_count,c3_actual,c30_actual,c31_actual,c32_actual,c33_actual,c34_actual,c35_actual,c36_actual,c37_actual,c38_actual,c39_actual,food_actual,nonfood_actual,FoodNorm-active
9753,5,22750,7227,1478,3245,1090,237,683,4494,1629,2292,373,8705,14043,5232.6920552495
9761,4,17341,4983,912,3250,1404,212,0,814,2840,2807,120,5895,11447,3884.8774349580
9779,2,9874,2409,428,1602,1139,0,1506,59,1224,899,609,2837,7038,1982.0803239582
9787,1,5018,897,138,2211,968,0,0,342,261,100,100,1035,3982,1109.9649814166
9795,3,13800,2650,1538,3514,1150,1370,0,1384,781,607,805,4188,9611,3171.3285183330
9803,5,15908,3136,89,3090,1593,241,0,757,3066,3902,35,3225,12684,4281.2934997496
9811,6,14176,959,305,2797,1646,2175,2209,954,901,1031,1200,1264,12913,6104.8073977911
9829,6,31487,7547,873,1884,1685,33,3163,0,1992,5975,8336,8420,23068,6580.5066755411
9837,2,6967,1745,218,1502,1100,0,301,1658,0,444,0,1963,5005,1982.0803239582
9845,5,28653,2377,324,3182,3978,1005,4500,398,3270,8681,939,2701,25953,4439.8599256663
9852,4,23633,3351,0,1583,1736,60,7590,1057,3460,4494,301,3351,20281,4122.7270738330
9860,6,22693,3403,2094,2002,2468,100,924,1671,1309,8362,361,5497,17197,6421.9402496244
9878,4,29208,3704,305,2638,1404,429,2209,289,1003,14937,2290,4009,25199,3250.6117312914
9886,3,14125,1432,169,3715,1003,885,0,1688,2046,2721,466,1601,12524,2616.3460276248
9894,2,4564,1421,758,325,435,276,0,463,541,250,94,2179,2384,1982.0803239582
9902,3,21246,2043,276,3838,1193,0,0,199,100,13021,575,2319,18926,2933.4788794581
9910,4,21179,2250,1112,3838,2214,37,2164,1874,341,7307,42,3362,17817,4122.7270738330
9928,4,13584,2955,113,3999,2587,612,140,910,702,849,717,3068,10516,4360.5767127079
9936,5,13978,2436,221,2512,652,6515,783,88,94,396,281,2657,11321,4202.0102867913
9944,7,58358,4116,595,3938,2447,20791,972,3914,12855,5431,3298,4711,53646,6025.5241848328
9951,5,9932,966,663,2664,1502,99,452,936,853,1182,614,1629,8302,5549.8249070828
9969,1,2077,22,0,803,373,0,200,203,0,475,0,22,2054,872.1153425416
9977,3,15606,2569,1073,3290,3169,137,100,800,887,3185,394,3642,11962,2933.4788794581
9985,4,14495,973,1112,2664,1551,516,0,2602,500,3516,1060,2085,12409,4122.7270738330
9993,3,23791,3428,811,6843,2927,320,500,470,2642,5407,443,4239,19552,3092.0453053747
10009,2,6471,768,515,2114,1707,0,100,591,167,251,257,1283,5187,1982.0803239582
10017,4,26207,8947,1442,2830,2870,621,0,958,3425,3869,1246,10389,15819,4202.0102867913
10025,5,9874,482,35,3384,1872,117,201,142,836,1651,1155,517,9358,3964.1606479163
10033,5,32150,4112,587,2820,2824,42,0,842,884,19286,753,4699,27451,4994.8424163745
10041,4,14287,3249,462,2113,938,597,703,238,638,2181,3167,3711,10575,3250.6117312914
10058,5,21612,2810,514,1922,1324,290,351,1153,8717,2855,1675,3324,18287,4677.7095645412
10066,8,19784,4319,1633,2563,2382,678,0,549,2745,3623,1291,5952,13831,8245.4541476659
10074,2,12929,1496,822,2039,2674,2837,0,173,185,1954,749,2318,10611,1982.0803239582
10082,2,12282,1797,201,1365,915,0,622,288,1891,3328,1876,1998,10285,2140.6467498748
10090,2,8691,1610,640,3514,930,0,402,461,528,606,0,2250,6441,1982.0803239582
10108,3,7177,1340,491,2797,583,0,0,241,839,886,0,1831,5346,2774.9124535414
10116,2,25069,2560,500,4479,1589,309,0,1347,2414,11617,254,3060,22009,1823.5138980415
10124,6,11891,2345,68,2517,881,140,0,395,3138,2062,345,2413,9478,5787.6745459578
10132,4,9594,2235,649,3263,898,111,110,62,419,1847,0,2884,6710,3726.3110090413
10140,2,11418,1015,555,2963,1309,136,752,3132,605,950,0,1570,9847,1982.0803239582
10157,2,4825,888,21,2410,191,0,0,353,175,350,436,909,3915,1982.0803239582
10165,5,13922,816,235,3769,1301,87,50,502,1473,5453,235,1051,12870,4836.2759904579
10173,1,4852,924,298,1529,1,668,268,0,1014,148,0,1222,3628,872.1153425416
10181,3,13027,2980,806,1529,1418,223,0,386,916,4739,31,3786,9242,3250.6117312914
10199,2,9555,1035,543,1235,130,367,100,213,2842,2794,297,1578,7978,1982.0803239582
10207,1,5653,241,304,0,0,0,0,1,4657,449,0,545,5107,951.3985554999
10215,1,5738,416,213,0,2,0,41,0,4371,681,13,629,5108,951.3985554999
10223,1,2277,558,0,0,51,17,0,58,1403,190,0,558,1719,951.3985554999
10231,1,7089,2440,109,0,2,57,957,9,1664,724,1127,2549,4540,951.3985554999
10249,1,11916,3296,394,0,101,100,1767,549,2748,852,2109,3690,8226,951.3985554999
10256,2,8199,2668,489,1574,1251,500,0,432,1,1095,190,3157,5043,1982.0803239582
10264,5,24958,2119,1956,2239,1454,1003,699,1202,5744,5905,2638,4075,20884,5311.9752682078
10272,1,9126,2335,1967,1254,477,0,130,1998,0,965,0,4302,4824,872.1153425416
10280,3,12264,5439,484,1791,570,243,659,112,804,1067,1094,5923,6340,3171.3285183330
10298,6,19388,6298,1165,2036,1592,77,1443,232,315,5122,1109,7463,11926,6342.6570366661
10306,7,18210,2921,556,2647,631,0,704,47,2802,7766,137,3477,14734,7769.7548699160
10314,2,5345,1254,687,1454,327,0,1139,184,0,300,0,1941,3404,1982.0803239582
10322,8,9473,3177,466,1614,735,150,0,1594,812,860,65,3643,5830,6501.2234625827
10330,3,5381,1459,91,1454,592,0,460,100,0,714,512,1550,3832,3171.3285183330
10348,6,13328,3141,770,2036,1394,335,1513,856,888,1419,975,3911,9416,5866.9577589161
10355,2,10423,3364,1381,1899,1384,0,0,0,833,1173,389,4745,5678,1982.0803239582
10363,5,21394,2577,2767,1612,1481,0,1548,1244,1927,6940,1297,5344,16049,4677.7095645412
10371,6,4447,770,259,1899,234,0,60,72,187,110,856,1029,3418,4756.9927774996
10389,3,10873,1755,130,1285,795,722,150,740,731,3852,713,1885,8988,2695.6292405831
10397,2,9048,1212,102,2527,1073,1145,729,107,577,1171,404,1314,7733,2061.3635369165
10405,1,1161,437,280,130,154,0,0,71,0,90,0,717,445,1109.9649814166
10413,1,594,0,0,119,67,0,0,0,240,166,0,0,592,872.1153425416
10421,8,9290,1647,459,1865,1016,3012,0,0,0,988,302,2106,7183,7611.1884439993
10439,1,4416,0,0,2527,1050,133,0,237,336,132,0,0,4415,872.1153425416
10447,5,6448,1288,444,2527,627,360,60,91,456,448,147,1732,4716,4836.2759904579
10454,5,3384,805,0,180,626,717,100,233,0,270,454,805,2580,5153.4088422912
10462,1,4843,206,269,2158,369,833,225,596,0,129,58,475,4368,872.1153425416
10470,2,50447,592,43,1493,509,130,0,121,37371,6877,3311,635,49812,2140.6467498748
10488,3,22898,0,0,4512,2055,67,0,1057,331,14876,0,0,22898,3171.3285183330
10496,6,15027,0,0,4512,2200,1977,0,900,2858,2580,0,0,15027,5391.2584811662
10504,7,8790,233,0,4512,2388,256,0,262,199,940,0,233,8557,7214.7723792077
10512,2,6892,2260,503,2058,679,550,0,181,0,661,0,2763,4129,1982.0803239582
10538,4,13367,2764,758,2864,2440,710,0,826,1547,1172,286,3522,9845,4043.4438608746
10546,2,16689,658,796,3892,4077,2851,120,670,597,2395,634,1454,15236,1982.0803239582
10553,2,11318,1360,380,2864,6157,217,0,1,201,52,86,1740,9578,1982.0803239582
10561,5,21467,5000,732,4058,2214,0,0,1350,5900,1834,379,5732,15735,4202.0102867913
10579,2,38904,4343,95,10137,2355,67,856,6409,1982,7039,5621,4438,34466,1982.0803239582
10587,1,18408,3142,0,3307,874,733,0,1480,2897,5783,193,3142,15267,1109.9649814166
10595,6,31308,5491,723,6831,3480,1835,2004,3425,2017,5061,441,6214,25094,5629.1081200412
10603,3,19592,3770,621,6580,1722,304,179,704,174,2704,2833,4391,15200,2933.4788794581
10611,4,24705,10023,0,2997,3208,46,260,1420,2932,3819,0,10023,14682,3805.5942219997
10629,4,13555,2527,575,7017,1140,138,40,659,216,898,346,3102,10454,4122.7270738330
10637,2,6254,454,566,4116,421,60,50,204,250,130,0,1020,5231,2061.3635369165
10645,1,5737,894,0,4116,623,0,0,9,0,25,69,894,4842,1109.9649814166
10652,5,11660,3672,352,2985,368,0,1493,11,1897,80,803,4024,7637,3964.1606479163
10660,3,11475,1712,23,4046,1431,236,400,102,936,2464,124,1735,9739,2774.9124535414
10678,4,14808,1503,119,3940,3111,97,349,847,2575,1123,1143,1622,13185,3171.3285183330
10686,11,10650,1385,364,3940,783,67,569,302,370,2123,746,1749,8900,9910.4016197908
10694,1,4581,740,212,3230,2,0,65,0,0,99,235,952,3631,1189.2481943749
10702,1,4673,677,48,3230,2,0,0,3,0,125,588,725,3948,1109.9649814166
10710,1,3866,427,96,3230,53,0,0,0,0,1,59,523,3343,1109.9649814166
10728,1,971,612,52,0,2,0,0,0,0,1,305,664,308,1109.9649814166
10736,1,4531,780,301,3230,2,218,0,0,0,1,0,1081,3451,1189.2481943749
10744,1,4796,481,143,3230,2,0,0,100,0,1,840,624,4173,1189.2481943749
10751,1,4849,683,78,3230,2,7,0,0,0,1,849,761,4089,1189.2481943749
10769,1,3996,595,83,3230,2,0,30,7,0,1,50,678,3320,1189.2481943749
10777,4,9913,2229,661,3213,821,67,320,117,1469,184,833,2890,7024,3409.1781572080
10785,1,9883,1158,495,5278,708,30,0,908,7,1266,33,1653,8230,872.1153425416
10793,4,12312,3146,824,3573,1433,0,130,1175,1146,885,0,3970,8342,4202.0102867913
10801,1,14804,1439,200,4477,3136,30,673,1976,640,1725,508,1639,13165,872.1153425416
10819,3,20486,1933,1428,4456,1266,0,201,1159,660,8316,1067,3361,17125,3250.6117312914
10827,1,8385,2140,259,3472,536,0,763,512,485,152,65,2399,5985,872.1153425416
10835,5,31264,4020,759,4296,1446,3310,4071,35,5813,7041,473,4779,26485,4756.9927774996
10843,2,8283,820,683,3254,738,459,0,0,144,1817,367,1503,6779,1982.0803239582
10850,2,8008,1256,603,2011,603,0,75,1114,281,1453,612,1859,6149,1982.0803239582
10868,3,10090,2410,360,3225,910,85,150,405,1391,978,177,2770,7321,2854.1956664997
10876,3,16367,1431,207,3057,914,2145,0,438,0,7990,185,1638,14729,2695.6292405831
10884,1,4674,597,131,2806,554,13,98,109,57,129,180,728,3946,872.1153425416
10892,6,13163,1687,403,4062,1084,121,0,234,4114,1283,175,2090,11073,5232.6920552495
10900,3,10446,690,408,3410,892,81,561,797,2530,742,335,1098,9348,2933.4788794581
10918,4,15512,1353,310,7017,648,84,602,437,1935,3104,23,1663,13850,4122.7270738330
10926,1,7688,361,211,5387,837,200,0,202,50,438,0,572,7114,872.1153425416
10934,2,13797,2120,366,5434,626,61,0,403,144,3908,735,2486,11311,1982.0803239582
10942,5,15496,1412,229,7057,607,70,0,452,1765,3840,65,1641,13856,4677.7095645412
10959,1,1634,240,458,151,536,0,0,218,0,32,0,698,937,872.1153425416
10967,2,10127,1085,318,7168,627,0,301,102,168,113,244,1403,8723,1982.0803239582
10975,2,14946,2190,44,3012,487,82,0,1,2958,5307,864,2234,12711,2140.6467498748
10983,3,9771,2459,967,3175,1240,194,0,550,246,765,175,3426,6345,2933.4788794581
10991,4,19296,4959,442,3175,1043,225,445,1105,3592,3494,815,5401,13894,3171.3285183330
11007,3,14070,1527,380,2218,818,0,502,262,7345,1018,0,1907,12163,3092.0453053747
11015,8,26403,3631,706,5553,3009,1002,695,1786,5891,3878,250,4337,22064,7928.3212958326
11023,2,12464,2067,1283,5673,1720,164,301,192,261,783,20,3350,9114,2061.3635369165
11031,4,31324,2188,1148,5745,1967,149,1004,1472,1611,15793,246,3336,27987,4360.5767127079
11049,7,24699,5888,1389,6677,3296,151,0,602,4852,1382,463,7277,17423,6263.3738237078
11056,3,22016,2623,810,5828,2095,52,1244,1012,2275,5325,752,3433,18583,2933.4788794581
11064,5,12987,327,0,5663,1299,1673,0,295,1875,1754,100,327,12659,4122.7270738330
11072,2,33086,4852,627,6655,1257,0,1179,2724,5371,9636,784,5479,27606,1982.0803239582
11080,1,10021,1153,66,4130,628,318,281,383,651,1757,654,1219,8802,872.1153425416
11098,1,12691,1687,329,3097,936,100,0,2828,2279,1435,0,2016,10675,1109.9649814166
11106,2,8944,1606,341,4090,1000,130,301,938,278,221,39,1947,6997,1982.0803239582
11114,4,17298,2387,822,3146,1140,2605,363,705,2300,3829,0,3209,14088,3647.0277960830
11122,4,22693,796,0,4198,1211,654,219,4102,4753,3329,3432,796,21898,3409.1781572080
11130,2,10883,1368,130,5571,1285,0,165,1469,530,101,263,1498,9384,1982.0803239582
11148,3,15311,2160,144,3012,781,568,952,599,3927,2174,995,2304,13008,2616.3460276248
11155,3,9626,712,305,2722,1199,576,0,205,1296,1218,1393,1017,8609,1982.0803239582
11163,2,6943,1503,698,2722,387,0,0,333,119,1182,0,2201,4743,1982.0803239582
11171,4,26780,2267,1340,2777,3535,1211,0,1628,2140,10649,1235,3607,23175,3329.8949442497
11189,1,3832,720,0,2791,41,0,0,0,124,26,131,720,3113,872.1153425416
11197,2,5279,703,0,2410,529,297,402,278,252,379,30,703,4577,1664.9474721248
11205,3,6021,1684,227,2722,645,0,0,155,0,588,0,1911,4110,3250.6117312914
11213,4,8658,1243,122,2722,819,0,839,136,1195,1275,305,1365,7291,3964.1606479163
11221,2,12994,393,480,2722,697,0,0,1,360,6073,2269,873,12122,1982.0803239582
11239,5,7808,1383,165,2711,1093,43,371,78,753,351,859,1548,6259,3884.8774349580
11247,2,7546,792,667,3718,1127,153,0,332,387,195,174,1459,6086,1982.0803239582
11254,4,20965,2382,270,6164,978,200,436,3477,3319,1138,2600,2652,18312,3250.6117312914
11262,4,14288,1373,831,7017,1095,59,452,151,1227,1488,594,2204,12083,3805.5942219997
11270,1,11578,528,470,7097,725,33,100,1933,209,451,30,998,10578,1109.9649814166
11288,3,23998,2055,632,7017,745,302,512,315,4319,6471,1628,2687,21309,2933.4788794581
11296,2,8631,999,79,5387,471,53,0,761,500,381,0,1078,7553,2299.2131757915
11304,1,17777,1621,754,1838,477,385,0,3271,0,9357,73,2375,15401,1109.9649814166
11312,2,14943,799,72,5520,890,60,0,4497,733,1587,785,871,14072,1982.0803239582
11320,1,9684,491,229,2811,456,0,150,482,0,5063,0,720,8962,1189.2481943749
11338,2,4955,248,226,3313,678,0,100,152,67,170,0,474,4480,1902.7971109998
11346,2,3082,935,262,1235,313,0,0,142,164,31,0,1197,1885,1982.0803239582
11353,3,11259,1790,312,3514,1220,100,407,200,1524,960,1233,2102,9158,2695.6292405831
11361,2,37360,3131,1661,5522,865,134,0,18355,2214,5322,158,4792,32570,1982.0803239582
11379,7,12355,2991,843,3514,444,0,0,0,966,2312,1286,3834,8522,6818.3563144160
11387,2,5319,279,0,3940,653,0,0,291,0,156,0,279,5040,1982.0803239582
11395,1,1589,528,0,612,368,0,0,31,0,50,0,528,1061,1189.2481943749
11403,1,7270,1030,61,3097,408,134,1145,594,231,238,334,1091,6181,872.1153425416
11411,2,9976,2440,0,3097,642,0,0,1201,301,920,1374,2440,7535,2299.2131757915
11429,4,13823,1680,218,4016,1400,658,391,131,3100,2229,0,1898,11925,3171.3285183330
11437,2,6949,1117,236,3815,779,52,0,418,203,217,111,1353,5595,1982.0803239582
11445,4,18518,2408,299,3598,1166,140,0,1395,1603,2662,5247,2707,15811,4202.0102867913
11452,1,2993,960,0,1799,3,1,0,109,0,120,0,960,2032,1109.9649814166
11460,4,3774,587,83,1305,144,134,0,1414,2,39,65,670,3103,3409.1781572080
11478,4,20181,2938,361,4029,2606,301,261,522,752,7656,756,3299,16883,4281.2934997496
11486,2,9612,213,435,3006,749,3386,0,244,427,150,1002,648,8964,1982.0803239582
11494,1,6191,680,0,3972,934,0,0,1,275,329,0,680,5511,1109.9649814166
11502,2,16135,2234,892,4149,2746,212,281,2177,1262,2130,52,3126,13009,1982.0803239582
11510,4,5725,1038,57,3096,810,0,120,0,291,313,0,1095,4630,3647.0277960830
11528,1,12109,2642,8,2502,669,1077,141,1143,1777,1994,156,2650,9459,1189.2481943749
11536,1,2523,1099,132,400,352,338,0,0,171,31,0,1231,1292,1109.9649814166
11544,2,3485,1150,439,1101,358,22,0,0,145,269,0,1589,1895,1982.0803239582
11551,1,4923,519,195,2512,417,80,0,732,289,171,7,714,4208,872.1153425416
11569,8,10741,2601,800,2815,1246,112,1357,0,1089,293,426,3401,7338,7135.4891662493
11577,8,8858,1111,226,2755,1391,73,130,295,1662,755,460,1337,7521,5866.9577589161
11585,6,22645,1827,618,2820,1319,743,0,535,13936,566,279,2445,20198,5708.3913329995
11593,6,18919,2340,713,3346,1385,8004,100,883,1389,680,80,3053,15867,5629.1081200412
11601,4,16221,1964,230,4785,1611,1576,0,400,1696,1667,2293,2194,14028,3250.6117312914
11619,1,5116,1221,861,2289,637,0,0,50,0,59,0,2082,3035,1189.2481943749
11627,2,15177,2665,1881,4381,1566,0,0,496,1417,2622,149,4546,10631,1982.0803239582
11635,4,16316,1901,1526,4129,2170,792,312,1139,1143,2527,677,3427,12889,3409.1781572080
11643,4,19486,2218,216,5487,1117,158,639,166,7535,1075,875,2434,17052,3805.5942219997
11650,1,8447,1182,357,4136,1428,153,378,203,310,275,24,1539,6907,872.1153425416
11668,2,22606,5563,124,6566,2359,909,118,815,3697,1271,1185,5687,16920,1982.0803239582
11676,5,31622,4920,2253,6989,4827,67,350,1201,5401,5476,138,7173,24449,4439.8599256663
11684,2,18216,1923,1160,6550,1309,87,0,2580,2048,879,1680,3083,15133,1982.0803239582
11692,2,21812,2708,1259,6748,1370,164,100,1686,376,7032,368,3967,17844,1982.0803239582
11700,2,12817,1763,262,4083,1450,201,723,350,1614,1814,557,2025,10792,1585.6642591665
11718,5,27556,6082,994,5059,3372,1152,1466,1078,2640,5451,261,7076,20479,4202.0102867913
11726,4,20269,3832,427,5556,1811,344,576,711,4087,2925,0,4259,16010,3171.3285183330
11734,2,11428,4875,83,4339,796,364,82,108,0,471,311,4958,6471,1982.0803239582
11742,3,9879,598,266,5122,607,107,355,871,1244,655,55,864,9016,2695.6292405831
11759,5,14942,4396,535,4029,2194,905,0,189,1157,934,602,4931,10010,4915.5592034162
11767,4,10086,1036,181,3899,1334,161,0,244,2767,380,85,1217,8870,4043.4438608746
11775,12,19437,1966,528,6159,1108,1205,3453,542,3092,844,539,2494,16942,11178.9330271240
11783,4,6211,162,119,4759,392,67,260,0,401,50,0,281,5929,3250.6117312914
11791,3,34843,5148,805,9568,1867,977,0,3381,2169,10550,378,5953,28890,2933.4788794581
11809,2,20847,1756,931,2626,2588,2589,251,5859,624,3255,369,2687,18161,1982.0803239582
11817,1,7016,0,414,3254,228,327,215,176,401,1597,405,414,6603,872.1153425416
11825,2,8559,743,474,1946,402,0,1219,70,635,2145,925,1217,7342,2061.3635369165
11833,1,5999,846,110,3403,765,60,0,291,244,113,166,956,5042,1109.9649814166
11841,1,5794,134,109,2572,2301,0,0,301,301,75,0,243,5550,872.1153425416
11858,3,24019,5757,506,3387,2057,496,733,2345,3882,3471,1384,6263,17755,2933.4788794581
11866,7,17291,2605,810,4284,3562,2047,547,520,1143,1149,623,3415,13875,6263.3738237078
11874,1,8282,1980,402,2601,967,0,0,496,518,1318,0,2382,5900,1109.9649814166
11882,1,4300,899,605,2512,226,0,0,0,0,58,0,1504,2796,872.1153425416
11890,5,22758,6698,1820,3346,1592,158,0,1692,1209,2583,3660,8518,14240,5232.6920552495
11908,1,7905,1493,547,3376,1167,304,0,251,465,199,104,2040,5866,872.1153425416
11916,2,38021,5469,1455,3943,2558,1688,1546,714,1314,19292,43,6924,31098,1982.0803239582
11924,5,10088,2565,304,2002,996,557,150,336,1645,1140,392,2869,7218,3805.5942219997
11932,5,37109,9300,2320,4761,1342,1974,0,354,2328,13603,1127,11620,25489,4994.8424163745
11940,2,13955,2491,380,3196,1355,441,656,2713,747,739,1237,2871,11084,1982.0803239582
11957,3,14455,4107,875,3196,1723,0,500,67,428,3038,521,4982,9473,2933.4788794581
11965,3,4287,260,0,2597,471,0,0,1,837,120,0,260,4026,2695.6292405831
11973,2,17754,4184,221,6362,2557,67,0,2604,298,1462,0,4405,13350,1982.0803239582
11981,2,18424,0,0,4344,1005,100,0,550,825,11598,0,0,18422,1982.0803239582
11999,5,28223,4395,752,8478,3044,526,100,1839,348,8588,152,5147,23075,4915.5592034162
12005,3,15897,5215,997,3596,868,222,734,449,1227,2502,87,6212,9685,3092.0453053747
12013,3,6395,820,0,3940,3,49,0,0,327,691,564,820,5574,3250.6117312914
12021,1,3963,840,73,2341,177,0,0,175,163,194,0,913,3050,872.1153425416
12039,1,3789,565,130,2341,203,0,0,229,201,120,0,695,3094,1109.9649814166
12047,1,4345,562,176,3097,259,0,0,71,120,60,0,738,3607,1109.9649814166
12054,5,24662,8265,1454,3097,2369,2262,0,806,3328,554,2527,9719,14943,4598.4263515829
12062,9,18892,8196,2003,3940,787,454,0,552,1264,727,970,10199,8694,7690.4716569576
12070,7,11521,1217,0,3940,1592,1692,1001,445,891,254,489,1217,10304,6659.7898884994
12088,6,12224,2685,313,3940,1997,1003,881,604,231,368,203,2998,9227,5232.6920552495
12096,5,14461,1064,584,3097,769,1763,4048,160,1628,100,1247,1648,12812,3805.5942219997
12104,3,18305,9386,544,3940,1148,358,500,1385,281,640,122,9930,8374,3171.3285183330
12112,4,14194,1246,640,3940,2602,1117,350,116,2682,1396,104,1886,12307,3488.4613701663
12120,3,7458,1728,0,3397,353,0,65,514,100,345,955,1728,5729,3250.6117312914
12138,1,12102,2342,227,4730,1058,855,200,338,1533,574,245,2569,9533,1189.2481943749
12146,3,9629,1245,219,3483,1090,359,100,1058,200,1573,302,1464,8165,3171.3285183330
12153,4,8525,1682,467,3632,427,33,0,0,1848,437,0,2149,6377,4122.7270738330
12161,2,9470,2316,242,3483,221,124,340,617,568,1506,53,2558,6912,1664.9474721248
12179,1,5120,580,201,1078,550,134,418,50,1259,530,321,781,4340,872.1153425416
12187,1,10074,855,198,4666,683,206,0,131,1769,1565,0,1053,9020,872.1153425416
12195,6,14657,2423,477,3503,1173,293,2443,399,2884,526,538,2900,11759,4677.7095645412
12203,4,8744,1027,499,4666,1084,272,134,148,390,93,430,1526,7217,3250.6117312914
12211,2,12945,808,2033,5501,778,0,0,0,2985,40,801,2841,10105,1744.2306850832
12229,2,7650,1212,395,3682,1045,0,0,793,150,140,233,1607,6043,1982.0803239582
12237,2,10497,639,453,4666,1752,491,609,255,475,870,287,1092,9405,1982.0803239582
12245,6,14553,1264,581,3849,1408,103,99,3083,1462,2465,238,1845,12707,5232.6920552495
12252,1,10971,1739,233,4116,1367,1129,151,575,657,231,773,1972,8999,872.1153425416
12260,1,5481,326,73,3003,758,0,251,238,216,615,0,399,5081,951.3985554999
12278,1,5225,374,381,4116,3,0,0,101,67,183,0,755,4470,1189.2481943749
12286,1,4206,130,10,2653,262,107,0,93,0,308,644,140,4067,872.1153425416
12294,1,6037,391,0,3503,273,167,141,48,229,1253,30,391,5644,872.1153425416
12302,1,7977,695,0,4871,648,154,450,18,0,208,934,695,7283,1189.2481943749
12310,2,16605,543,0,6006,1830,554,1976,1,652,1192,3850,543,16061,2378.4963887498
12328,1,8246,1619,393,4504,656,0,0,107,335,611,20,2012,6233,1189.2481943749
12336,2,20034,1708,412,5479,1833,584,360,570,3091,5570,425,2120,17912,1982.0803239582
12344,2,20806,5931,1342,7407,1887,1677,109,453,199,960,842,7273,13534,1982.0803239582
12351,3,11830,730,365,5402,1052,0,199,728,1214,2071,69,1095,10735,2774.9124535414
12369,5,28723,2165,222,5759,1511,411,984,1915,6494,6976,2286,2387,26336,5311.9752682078
12377,2,20295,3720,193,3064,2049,4197,0,1848,1584,1670,1970,3913,16382,2061.3635369165
12385,1,10356,565,0,4705,1089,0,0,1457,206,2334,0,565,9791,1189.2481943749
12393,4,23921,2724,312,7669,3306,658,664,546,1485,5200,1356,3036,20884,4360.5767127079
12401,1,17473,3540,1672,5950,1907,198,0,180,467,3039,520,5212,12261,872.1153425416
12419,2,16059,908,123,2553,804,1439,0,1230,0,9003,0,1031,15029,1982.0803239582
12427,3,18445,4812,919,3112,668,170,601,589,835,4378,2362,5731,12715,3171.3285183330
12435,2,10831,599,189,3503,5149,0,0,0,80,489,821,788,10042,1823.5138980415
12443,2,32311,615,642,3223,1490,300,240,716,22315,2238,531,1257,31053,2061.3635369165
12450,10,18601,3138,1086,3835,585,2810,1199,657,3608,1075,609,4224,14378,9513.9855549991
12468,8,9327,1506,275,3193,1881,0,410,697,1093,86,187,1781,7547,6580.5066755411
12476,7,6966,1524,708,2488,780,17,100,1,1111,137,100,2232,4734,5470.5416941245
12484,3,10857,2203,497,3873,1148,130,225,203,1008,1059,512,2700,8158,2695.6292405831
12492,4,38434,4504,87,10912,4409,175,749,3495,5624,7565,914,4591,33843,3805.5942219997
12500,4,30823,7441,620,6238,2607,100,0,320,6091,6303,1103,8061,22762,3409.1781572080
12518,2,28740,4915,764,8606,3717,791,0,1759,1255,6757,176,5679,23061,1982.0803239582
12526,3,11937,2204,504,6526,1277,686,70,96,27,137,409,2708,9228,2695.6292405831
12534,2,11658,1833,593,5446,1074,134,0,578,679,1323,0,2426,9234,1982.0803239582
12542,2,30183,1036,529,5480,1044,40,0,1333,421,20268,33,1565,28619,1982.0803239582
12559,4,25522,3054,216,8001,8551,1165,392,217,1927,476,1525,3270,22254,3171.3285183330
12567,3,15419,2034,929,3325,1317,1893,440,2058,2090,1007,325,2963,12455,2616.3460276248
12575,2,11187,2886,568,3292,840,100,671,1382,426,892,130,3454,7733,2061.3635369165
12583,4,14684,2511,305,3203,965,2746,731,305,1155,2722,40,2816,11867,3409.1781572080
12591,2,4438,2630,453,332,387,364,0,142,28,102,0,3083,1355,1982.0803239582
12609,4,16563,3422,215,5382,2537,117,0,1306,461,2927,196,3637,12926,4122.7270738330
12617,3,17822,1227,336,9298,2273,0,0,269,1079,3199,142,1563,16260,3250.6117312914
12625,2,11592,2519,661,3324,843,778,179,1,320,1323,1644,3180,8412,2061.3635369165
12633,3,22159,2765,419,4120,6176,669,354,3759,1783,1065,1051,3184,18977,2774.9124535414
12641,4,13789,3097,809,4219,1347,70,110,631,2112,1393,0,3906,9882,3726.3110090413
12658,3,6754,1058,0,4518,777,0,0,0,130,271,0,1058,5696,3092.0453053747
12666,1,4648,327,0,2510,659,501,0,224,0,426,0,327,4320,1189.2481943749
12674,5,6794,2238,332,3183,485,0,0,114,0,442,0,2570,4224,4043.4438608746
12682,3,16707,1983,1129,3183,808,0,0,273,217,9115,0,3112,13596,2933.4788794581
12690,3,23925,1831,480,5176,2037,0,643,886,582,12290,0,2311,21614,2933.4788794581
12708,5,28452,3203,248,5494,3429,144,1205,493,1010,12580,646,3451,25001,4598.4263515829
12716,5,15612,2583,732,3835,1004,421,1104,728,1748,1341,2116,3315,12297,4519.1431386246
12724,5,20090,2813,925,3614,1587,116,1147,2014,271,6286,1317,3738,16352,5232.6920552495
12732,4,17511,1495,543,3765,1919,143,90,2216,3956,2890,495,2038,15474,3171.3285183330
12740,4,20517,927,0,4219,3429,0,134,3295,749,4397,3367,927,19590,4122.7270738330
12757,3,6839,1141,183,2208,596,0,0,579,221,1001,910,1324,5515,3171.3285183330
12765,3,6507,1058,344,3230,536,84,601,300,0,354,0,1402,5105,3409.1781572080
12773,4,14612,2626,1182,3514,1810,461,321,168,2861,946,723,3808,10804,3250.6117312914
12781,3,11766,163,0,4217,1869,760,0,2116,1229,1117,296,163,11604,2616.3460276248
12799,4,24016,2709,76,5276,893,152,0,1620,780,11903,608,2785,21232,3726.3110090413
