misparmb,persons_count,c3_actual,c30_actual,c31_actual,c32_actual,c33_actual,c34_actual,c35_actual,c36_actual,c37_actual,c38_actual,c39_actual,food_actual,nonfood_actual,FoodNorm-active
737,4,17956,1049,165,5845,2884,4304,0,2469,187,1053,0,1214,16742,4360.5767127079
745,2,6110,2037,393,2410,361,234,231,218,100,128,0,2430,3682,1982.0803239582
752,6,10876,1674,654,4641,1255,344,0,374,431,1372,130,2328,8547,5946.2409718745
760,4,12264,3233,74,3196,824,0,0,476,3449,702,311,3307,8958,3329.8949442497
778,2,9878,809,260,2694,405,55,0,3292,708,1654,0,1069,8808,1982.0803239582
786,2,11460,1395,563,3648,820,2256,316,1427,447,587,0,1958,9501,1982.0803239582
794,2,12320,1124,386,4641,1161,33,223,57,350,1627,2717,1510,10809,1744.2306850832
802,1,10229,1417,82,2610,940,1061,0,50,3234,769,65,1499,8729,1189.2481943749
810,2,17798,3308,1127,6727,2391,227,0,586,300,1274,1858,4435,13363,1982.0803239582
828,1,9497,1343,205,4715,1627,63,0,618,386,534,7,1548,7950,872.1153425416
836,4,22750,2320,507,6697,2507,83,1164,1935,3776,3531,229,2827,19922,3567.7445831247
844,4,34412,3745,1607,6774,2893,1755,0,2288,2503,10927,1919,5352,29059,4043.4438608746
851,6,36405,4553,1042,6733,3155,373,496,1703,6953,10798,599,5595,30810,5866.9577589161
869,2,13411,1290,215,6590,1775,334,524,1305,455,922,0,1505,11905,1982.0803239582
877,2,36954,6092,1087,6731,2929,2148,1403,2646,941,9550,3429,7179,29777,1982.0803239582
885,4,33776,3907,1193,4998,3806,2395,0,3631,1826,11633,387,5100,28676,3805.5942219997
893,4,7909,1698,587,3456,689,0,0,1109,0,276,95,2285,5625,4360.5767127079
901,2,14360,1940,246,3112,735,580,358,263,0,6297,829,2186,12174,2140.6467498748
919,2,15467,3118,342,3689,3971,33,0,2661,304,1219,130,3460,12007,2299.2131757915
927,2,7143,676,201,3334,627,0,0,107,882,1316,0,877,6266,1823.5138980415
935,5,39282,1453,446,21967,1643,297,1651,1418,6960,2878,568,1899,37382,3884.8774349580
943,1,7175,410,27,4867,896,13,83,506,250,123,0,437,6738,1109.9649814166
950,1,5558,378,334,2008,385,401,0,0,58,1993,0,712,4845,1189.2481943749
968,4,28870,3505,223,8227,4510,0,1274,1875,2991,6182,83,3728,25142,3964.1606479163
976,2,11134,428,323,2805,1646,134,1215,357,2250,1977,0,751,10384,1982.0803239582
984,1,4373,915,178,2209,537,0,0,269,211,55,0,1093,3281,872.1153425416
992,1,20122,908,939,2805,1074,40,813,821,524,12196,0,1847,18273,872.1153425416
1008,1,5381,365,244,2512,662,652,0,146,632,168,0,609,4772,872.1153425416
1016,2,14678,507,107,1707,497,351,382,6063,3694,1273,97,614,14064,1823.5138980415
1024,1,1395,200,61,797,111,0,0,0,0,226,0,261,1134,872.1153425416
1032,2,11955,2790,68,2209,334,150,0,183,1483,3884,853,2858,9096,2140.6467498748
1040,3,18010,465,56,3849,844,160,1165,295,3048,6160,1969,521,17490,2695.6292405831
1057,3,21371,1744,359,2510,1457,131,0,248,1375,12947,601,2103,19269,2854.1956664997
1065,1,1067,51,0,206,230,0,0,143,201,1,235,51,1016,872.1153425416
1073,1,7884,1408,561,4058,622,0,0,361,372,502,0,1969,5915,872.1153425416
1081,6,34638,4538,695,4337,1989,3862,4488,1398,5380,7377,575,5233,29406,5708.3913329995
1099,3,17791,1650,707,4261,1831,1299,204,2726,1479,3343,291,2357,15434,2933.4788794581
1107,1,8208,1103,743,1616,885,524,218,2824,0,120,175,1846,6362,872.1153425416
1115,6,16789,3888,1477,3226,1911,418,301,0,4005,669,894,5365,11424,5708.3913329995
1123,2,6806,1803,377,2391,475,0,0,361,212,92,1095,2180,4626,2061.3635369165
1131,1,14466,1530,0,2340,270,0,0,155,508,9613,50,1530,12936,1109.9649814166
1149,2,6136,903,336,3112,753,87,0,514,280,150,0,1239,4896,1982.0803239582
1156,2,23276,5647,829,2811,1037,285,602,4800,261,6895,109,6476,16800,1982.0803239582
1164,1,11912,741,373,4479,1023,0,0,2260,215,150,2672,1114,10799,872.1153425416
1172,1,10402,859,851,2192,269,1854,657,1348,267,80,2025,1710,8692,872.1153425416
1180,1,4350,982,1015,1811,240,0,0,95,206,1,0,1997,2353,872.1153425416
1198,4,20844,2635,85,3504,1346,535,1022,503,8976,1512,726,2720,18124,3171.3285183330
1206,2,13726,2494,623,4368,1053,135,0,2436,120,1448,1049,3117,10609,1982.0803239582
1214,4,17468,736,266,2309,965,0,1114,0,1153,10859,65,1002,16465,3488.4613701663
1222,4,8320,2721,0,2662,1003,0,0,130,353,1451,0,2721,5599,3805.5942219997
1230,2,13682,2257,299,2008,598,92,0,599,2424,5223,183,2556,11127,2140.6467498748
1248,3,10745,1445,87,2359,652,216,935,307,2406,1776,562,1532,9213,2616.3460276248
1255,4,9683,1441,802,1305,582,411,201,251,2036,2295,359,2243,7440,3250.6117312914
1263,1,8446,1362,331,2662,1216,116,0,304,251,2117,87,1693,6753,872.1153425416
1271,3,36478,1225,154,6159,1652,10468,0,1118,3297,11615,791,1379,35100,2695.6292405831
1289,6,31176,2610,245,8167,2210,450,120,1331,13315,272,2456,2855,28321,5708.3913329995
1297,3,12200,2337,1083,3849,1481,484,0,226,366,675,1700,3420,8781,2854.1956664997
1305,7,22616,706,431,8970,1298,1645,0,392,7212,209,1752,1137,21478,6897.6395273744
1313,1,6078,160,133,4666,907,0,0,83,0,99,31,293,5786,872.1153425416
1321,7,9751,2030,464,1233,1093,109,206,435,2650,1450,82,2494,7258,5311.9752682078
1339,2,10777,1691,370,4763,1150,0,460,533,282,1468,60,2061,8716,1982.0803239582
1347,3,8382,1650,806,452,673,0,261,304,1605,1824,805,2456,5924,2616.3460276248
1354,1,6831,0,446,3849,1627,0,0,226,251,321,110,446,6384,872.1153425416
1362,8,19339,1643,513,6179,3943,1339,70,599,2338,762,1953,2156,17183,6342.6570366661
1370,6,8494,148,0,4470,1243,0,371,331,244,1465,221,148,8345,5232.6920552495
1388,3,11093,861,407,2805,1245,2171,0,538,377,1962,726,1268,9824,2854.1956664997
