Family Composition,Is Sedentary,ZL,ZU,Mean Expenditures,Median Expenditures,Mean Food Expenditures,Median Food Expenditures,Food Expense Ratio (%),Food Norm,Poverty Rate (%),Poverty Gap,Poverty Severity,Count
"Active: 0-4:1.0M, 18-29:1.0F, 30-49:1.0M",False,4360.43219494,13529.0379909,2695.6300000000006,2695.63,4285.083333333333,4079.5,158.96407642492971,2537.06,0.0,0,0,12
"Active: 18-29:1.0F, 50+:1.0F",False,2406.2799969,12255.73327,1823.5099999999998,1823.51,4523.545454545455,3193.0,248.06803661868898,1744.23,0.0,0,0,11
"Active: 0-4:1.0F, 18-29:1.0F, 30-49:1.0M",False,2327.5492034999997,14356.3152355,2695.6300000000006,2695.63,5106.636363636364,5124.0,189.44129437780276,1664.95,0.0,0,0,11
"Active: 0-4:2.0F, 18-29:1.0M+1.0F",False,1721.4172593600003,16268.3992158,3250.61,3250.61,3390.5454545454545,3266.0,104.30489829741047,1506.38,0.0,0,0,11
"Active: 5-9:1.0F, 10-14:1.0F, 30-49:1.0M+1.0F",False,-207.9514004,18215.1724336,3647.03,3647.03,3923.3636363636365,3644.0,107.57694991167158,634.27,0.0,0,0,11
"Active: 0-4:1.0M+1.0F, 18-29:1.0M+1.0F",False,8352.7402508,15441.1219712,3250.61,3250.61,5837.9,5699.0,179.59398389840675,4677.71,0.0,0,0,10
"Active: 30-49:1.0M, 50+:1.0M",False,526.8243866999999,10860.7097878,2299.21,2299.21,4666.6,4051.5,202.96536636496882,634.27,0.0,0,0,10
"Active: 18-29:1.0M, 30-49:1.0F",False,4065.73168056,12310.6707242,2061.36,2061.36,3936.2,3608.5,190.95160476578567,2537.06,0.0,0,0,10
"Active: 0-4:1.0F, 5-9:1.0M+1.0F, 30-49:1.0M+1.0F",False,4597.7923878,21609.596480499997,4122.729999999999,4122.73,6071.1,5749.0,147.25921901264454,3250.61,0.0,0,0,10
"Active: 5-9:1.0M+1.0F, 30-49:1.0M+1.0F",False,3396.7106251000005,19003.999488,3567.7399999999993,3567.74,3888.7,3917.0,108.99617124566254,2457.78,0.0,0,0,10
"Active: 18-29:1.0M, 30-49:1.0M, 50+:1.0M+1.0F",False,3659.07172736,19076.376386800002,4360.58,4360.58,4007.5,3131.5,91.90291199794522,2537.06,0.0,0,0,10
"Active: 0-4:1.0M+1.0F, 5-9:1.0F, 30-49:1.0M+1.0F",False,3166.8089428400003,19700.5230618,3884.8799999999997,3884.88,4599.3,3438.5,118.389757212578,2457.78,0.0,0,0,10
"Active: 5-9:1.0F, 10-14:1.0M, 30-49:1.0M+1.0F",False,5263.1795471,18377.503282600002,3805.5899999999992,3805.59,4564.2,4676.5,119.93409694685973,3329.89,0.0,0,0,10
"Active: 5-9:1.0M, 10-14:1.0M, 30-49:1.0M+1.0F",False,1212.7107076,19752.4738642,3884.8799999999997,3884.88,4023.4,3703.5,103.5656185004427,1347.81,0.0,0,0,10
"Active: 0-4:1.0F, 18-29:1.0M+1.0F",False,2105.9954966600003,13662.8022233,2695.63,2695.63,4399.111111111111,4655.0,163.19417394490753,1506.38,0.0,0,0,9
