Family Composition,Is Sedentary,ZL,ZU,Mean Expenditures,Median Expenditures,Mean Food Expenditures,Median Food Expenditures,Food Expense Ratio (%),Food Norm,Poverty Rate (%),Poverty Gap,Poverty Severity,Count
"Active: 15-17:1.0F, 18-29:1.0F, 30-49:1.0M",False,3531.2932905,15866.8839436,3092.05,3092.05,5741.0,5741.0,185.66970133083228,2219.93,0.0,0,0,1
"Active: 0-4:1.0M+1.0F, 10-14:1.0F, 18-29:1.0F, 30-49:1.0F",False,-26.680215260000068,20536.2147637,3805.59,3805.59,2893.0,2893.0,76.01974989423454,951.4,0.0,0,0,1
"Active: 0-4:1.0M+1.0F, 18-29:1.0M, 30-49:1.0F",False,1365.3181974,16694.5874646,3171.33,3171.33,1592.0,1592.0,50.19975846096118,1427.1,0.0,0,0,1
"Active: 15-17:1.0M+1.0F, 30-49:1.0F, 50+:1.0M",False,1043.7509757000003,18820.9809628,4202.01,4202.01,2757.0,2757.0,65.61145737397102,1506.38,0.0,0,0,1
"Active: 15-17:1.0F, 18-29:1.0M+1.0F, 50+:1.0F",False,-161.10361454000008,19880.468250500002,3964.16,3964.16,2286.0,2286.0,57.666693574426866,634.27,0.0,0,0,1
"Active: 15-17:1.0M, 18-29:1.0M, 50+:1.0M",False,2053.11176566,12508.2885819,3567.74,3567.74,2758.0,2758.0,77.30383940533784,1506.38,0.0,0,0,1
"Active: 0-4:3.0F, 5-9:2.0F, 10-14:2.0M+1.0F, 15-17:1.0M, 30-49:1.0M+1.0F",False,-2096.1737457,36807.271724800004,9355.42,9355.42,2616.0,2616.0,27.962400405326537,634.27,0.0,0,0,1
"Active: 15-17:1.0M, 30-49:1.0M",False,2370.502574,9640.1795825,2457.78,2457.78,2815.0,2815.0,114.53425448982415,1506.38,0.0,0,0,1
"Active: 0-4:1.0M, 10-14:1.0M, 30-49:1.0F",False,3105.3230169400003,13641.318153400001,2457.78,2457.78,3445.0,3445.0,140.16714270601923,2140.65,0.0,0,0,1
"Active: 0-4:2.0M+1.0F, 5-9:1.0M+1.0F, 10-14:3.0M, 30-49:1.0M+1.0F",False,4496.63325938,34348.9268599,8324.74,8324.74,8316.0,8316.0,99.89501173610226,3488.46,0.0,0,0,1
"Active: 5-9:1.0M, 10-14:1.0F, 15-17:1.0F, 18-29:1.0F, 30-49:1.0F, 50+:1.0M",False,4732.130215199999,27517.478902100003,5549.82,5549.82,4847.0,4847.0,87.33616585763141,3567.74,0.0,0,0,1
"Active: 0-4:2.0M+1.0F, 5-9:3.0F, 30-49:1.0M+1.0F",False,6547.92777418,26103.6879797,5866.96,5866.96,6274.0,6274.0,106.9378349264355,4360.58,0.0,0,0,1
"Active: 15-17:2.0M, 18-29:1.0M, 30-49:1.0M+1.0F",False,1700.7780978600001,21194.936628900003,5787.67,5787.67,5707.0,5707.0,98.60617485101949,1744.23,0.0,0,0,1
"Active: 5-9:1.0F, 18-29:1.0M, 30-49:1.0F, 50+:1.0M",False,1902.8116176600001,18184.7153208,3884.88,3884.88,7243.0,7243.0,186.44076522312142,1744.23,0.0,0,0,1
"Active: 15-17:1.0F, 30-49:1.0M, 50+:2.0F",False,2428.4409415,20829.448115,3884.88,3884.88,3783.0,3783.0,97.37752517452276,2140.65,0.0,0,0,1
"Active: 0-4:2.0F, 5-9:1.0M, 18-29:1.0M+1.0F",False,2580.78545846,19955.792382400003,4043.44,4043.44,4207.0,4207.0,104.04507053400076,2061.36,0.0,0,0,1
"Active: 10-14:1.0F, 15-17:1.0M, 18-29:2.0F, 50+:1.0M+1.0F",False,3878.1561074000006,25508.643666900003,6025.52,6025.52,3398.0,3398.0,56.39347309443832,3092.05,0.0,0,0,1
"Active: 0-4:1.0M+1.0F, 5-9:2.0M, 18-29:1.0M+1.0F",False,-235.323351,22815.9083044,4836.28,4836.28,1034.0,1034.0,21.380068978636473,634.27,0.0,0,0,1
"Active: 0-4:1.0M, 10-14:2.0F, 30-49:1.0F",False,2658.6182430400004,16377.553416600002,3171.33,3171.33,3911.0,3911.0,123.32365285227334,2061.36,0.0,0,0,1
"Active: 0-4:1.0F, 10-14:1.0M, 15-17:1.0M+2.0F, 18-29:1.0F, 30-49:1.0M+1.0F",False,1321.6830090000003,33695.7313644,7769.75,7769.75,3403.0,3403.0,43.79806300074005,2061.36,0.0,0,0,1
"Active: 18-29:2.0F, 30-49:1.0F",False,-261.24695310000016,17705.3623779,2774.91,2774.91,1810.0,1810.0,65.22734070654545,634.27,0.0,0,0,1
"Active: 0-4:1.0M, 5-9:2.0M, 10-14:2.0F, 30-49:1.0M+1.0F",False,9616.37888694,27954.422041899998,5946.24,5946.24,7734.0,7734.0,130.06538585728126,5866.96,0.0,0,0,1
"Active: 15-17:2.0M, 50+:1.0F",False,2861.1162159000005,12486.2864158,3409.18,3409.18,3297.0,3297.0,96.70947265911451,2140.65,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:1.0M+1.0F, 10-14:1.0M, 30-49:1.0M+1.0F",False,-763.2304911000001,24670.493441699997,5153.41,5153.41,9407.0,9407.0,182.53932832823315,634.27,0.0,0,0,1
"Active: 18-29:3.0M, 30-49:1.0M",False,5843.91310478,17824.795615900002,4756.99,4756.99,6851.0,6851.0,144.019642673203,3171.33,0.0,0,0,1
"Active: 10-14:1.0M, 18-29:1.0M, 30-49:1.0M+1.0F",False,455.25304736,19573.649977499997,4281.29,4281.29,2615.0,2615.0,61.07972129895429,872.12,0.0,0,0,1
"Active: 0-4:1.0M+2.0F, 5-9:1.0M, 10-14:1.0M+1.0F, 30-49:1.0M+1.0F",False,615.10516074,29640.553709300002,6421.94,6421.94,2117.0,2117.0,32.9651164601351,1585.66,0.0,0,0,1
"Active: 0-4:1.0M, 5-9:1.0M+2.0F, 18-29:1.0F, 30-49:1.0M",False,3781.27447124,21841.276327500003,4915.56,4915.56,4150.0,4150.0,84.42578261683306,2537.06,0.0,0,0,1
"Active: 0-4:2.0M+1.0F, 5-9:2.0M, 30-49:1.0M+1.0F",False,-913.02694342,26541.206557899997,5311.98,5311.98,3778.0,3778.0,71.12225573138453,634.27,0.0,0,0,1
"Active: 15-17:1.0M, 30-49:1.0F, 50+:1.0F",False,3033.6590293000004,15850.2905697,3012.76,3012.76,3250.0,3250.0,107.87450709648294,2457.78,0.0,0,0,1
"Active: 0-4:1.0F, 15-17:1.0F, 18-29:1.0M+1.0F, 50+:1.0F",False,4369.87814816,22486.065242999997,4519.14,4519.14,3501.0,3501.0,77.47049217328961,3092.05,0.0,0,0,1
"Active: 18-29:1.0F, 30-49:1.0F, 50+:1.0F",False,4485.2438961,17960.8292302,2695.63,2695.63,3239.0,3239.0,120.15744000474842,3171.33,0.0,0,0,1
"Active: 0-4:1.0M+2.0F, 5-9:2.0M+1.0F, 18-29:1.0M+1.0F",False,2545.6954503,27733.927881900003,6104.81,6104.81,2398.0,2398.0,39.2805017682778,2299.21,0.0,0,0,1
"Active: 5-9:1.0M, 15-17:1.0F, 18-29:3.0M, 50+:1.0F",False,1508.2197096800003,26133.369510099998,6184.09,6184.09,3088.0,3088.0,49.93459021456673,1506.38,0.0,0,0,1
"Active: 5-9:1.0M, 18-29:1.0M, 30-49:1.0F, 50+:1.0M",False,3243.6027781600005,19559.6859024,3964.16,3964.16,3358.0,3358.0,84.70899257345819,2457.78,0.0,0,0,1
"Active: 5-9:1.0M, 10-14:1.0F, 18-29:1.0F, 30-49:1.0F",False,6228.741467,19839.691189900004,3488.46,3488.46,4767.0,4767.0,136.65055640597856,3964.16,0.0,0,0,1
"Active: 5-9:1.0F, 10-14:1.0F, 15-17:1.0M, 18-29:2.0M+2.0F, 30-49:1.0F, 50+:1.0M",False,5186.18132112,35836.2034528,9117.57,9117.57,6377.0,6377.0,69.94188144428833,3964.16,0.0,0,0,1
"Active: 0-4:2.0M, 5-9:1.0M+1.0F, 10-14:1.0F, 30-49:1.0M+1.0F",False,1886.68630698,25459.205095999998,5549.82,5549.82,2500.0,2500.0,45.046506012807626,1902.8,0.0,0,0,1
"Active: 0-4:2.0M+1.0F, 5-9:1.0F, 10-14:1.0F, 30-49:1.0M+1.0F",False,1752.6998705799997,24377.4089219,5311.98,5311.98,2647.0,2647.0,49.830759904969526,1902.8,0.0,0,0,1
"Active: 5-9:1.0F, 18-29:1.0F",False,2382.9602337,9861.0585359,1664.95,1664.95,5326.0,5326.0,319.8894861707559,1506.38,0.0,0,0,1
"Active: 0-4:2.0M+1.0F, 18-29:1.0F, 30-49:1.0M",False,4197.07871178,17912.9547313,3805.59,3805.59,3554.0,3554.0,93.38893574977861,2695.63,0.0,0,0,1
"Active: 10-14:1.0F, 15-17:2.0F, 18-29:1.0M+1.0F, 30-49:1.0M+1.0F",False,3151.75975186,32095.280996499998,6976.92,6976.92,3490.0,3490.0,50.022072777099346,2695.63,0.0,0,0,1
"Active: 10-14:1.0M+1.0F, 30-49:1.0F, 50+:1.0M+1.0F",False,2597.6241367000002,23030.283848400002,4756.99,4756.99,4410.0,4410.0,92.70568153391116,2457.78,0.0,0,0,1
"Active: 0-4:2.0M+1.0F, 5-9:1.0M+1.0F, 10-14:2.0M+2.0F, 30-49:1.0M+1.0F",False,-1024.17151452,37085.1621231,9038.29,9038.29,28649.0,28649.0,316.9736753301786,872.12,0.0,0,0,1
"Active: 5-9:1.0F, 10-14:1.0F, 30-49:1.0F, 50+:1.0M",False,958.4072523999998,17574.7121531,3567.74,3567.74,4064.0,4064.0,113.90964588226721,1347.81,0.0,0,0,1
"Active: 15-17:1.0M, 18-29:1.0M+2.0F, 30-49:1.0F, 50+:1.0M",False,65.54757006,27116.645475700003,6342.66,6342.66,3429.0,3429.0,54.06249113148112,1189.25,0.0,0,0,1
"Active: 0-4:2.0M, 18-29:1.0M+1.0F, 50+:1.0M+1.0F",False,3489.04294254,22882.5640573,5232.69,5232.69,4699.0,4699.0,89.80084812973826,2616.35,0.0,0,0,1
"Active: 0-4:2.0M, 5-9:3.0M, 10-14:1.0M+1.0F, 30-49:1.0M+1.0F",False,628.6027876800003,33582.4658054,7452.62,7452.62,9311.0,9311.0,124.93592857277038,1506.38,0.0,0,0,1
"Active: 0-4:3.0F, 5-9:2.0F, 18-29:1.0M+1.0F",False,1166.8330992600002,23498.8413783,5232.69,5232.69,3483.0,3483.0,66.56232262946973,1585.66,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:1.0F, 10-14:3.0F, 15-17:1.0F, 18-29:1.0F, 30-49:1.0M+1.0F",False,155.39451180000015,35185.6978179,7849.04,7849.04,2141.0,2141.0,27.27722116335246,1506.38,0.0,0,0,1
"Active: 0-4:3.0F, 5-9:1.0M, 30-49:1.0M+1.0F",False,-605.5011254000002,24508.3678805,4519.14,4519.14,6336.0,6336.0,140.20366706939816,951.4,0.0,0,0,1
"Active: 0-4:3.0F, 30-49:1.0M+1.0F",False,437.9106754999998,20820.974713900003,3726.31,3726.31,2438.0,2438.0,65.42665532389952,1347.81,0.0,0,0,1
"Active: 10-14:2.0F, 15-17:1.0F, 30-49:1.0M+1.0F",False,1360.0835843000002,22917.4816614,4756.99,4756.99,5101.0,5101.0,107.23167381053986,1585.66,0.0,0,0,1
Active: 18-29:3.0M,False,2190.56885908,13622.7133238,3567.74,3567.74,4046.0,4046.0,113.40512481290679,1268.53,0.0,0,0,1
"Active: 5-9:1.0M+1.0F, 18-29:1.0M, 30-49:1.0F",False,3650.85691826,18310.4864758,3567.74,3567.74,2986.0,2986.0,83.69443961723668,2537.06,0.0,0,0,1
"Active: 10-14:1.0F, 18-29:2.0M, 30-49:1.0M, 50+:1.0M+1.0F",False,4187.00843982,25483.5117789,6421.94,6421.94,3187.0,3187.0,49.62674830347216,2933.48,0.0,0,0,1
"Active: 0-4:2.0F, 5-9:1.0M+1.0F, 10-14:1.0M+2.0F, 15-17:2.0F, 18-29:1.0M, 30-49:1.0M+1.0F",False,-458.3141429399998,44814.1233397,10544.67,10544.67,8873.0,8873.0,84.14677747146189,1506.38,0.0,0,0,1
"Active: 5-9:2.0M+1.0F, 30-49:1.0M+1.0F",False,4573.218824199999,22691.3926546,4360.58,4360.58,6420.0,6420.0,147.22812102977127,3171.33,0.0,0,0,1
"Active: 10-14:1.0F, 18-29:2.0M+1.0F, 50+:1.0M+1.0F",False,4843.050146719999,25733.0599536,6184.09,6184.09,5505.0,5505.0,89.01875619533351,3329.89,0.0,0,0,1
"Active: 5-9:2.0M+1.0F, 30-49:1.0F, 50+:1.0M",False,4629.617477,22050.932374099997,4281.29,4281.29,4112.0,4112.0,96.04581796608032,3329.89,0.0,0,0,1
"Active: 0-4:2.0M, 5-9:1.0M+1.0F, 18-29:1.0M, 30-49:1.0F",False,4886.1264265400005,21867.1259716,4677.71,4677.71,3871.0,3871.0,82.75416817203289,3250.61,0.0,0,0,1
"Active: 10-14:1.0M+1.0F, 15-17:1.0M+1.0F, 30-49:1.0M+1.0F, 50+:1.0F",False,-917.2875806000001,30128.0016358,7056.21,7056.21,2047.0,2047.0,29.009907584949996,872.12,0.0,0,0,1
"Active: 0-4:2.0M+1.0F, 5-9:2.0F, 10-14:1.0F, 30-49:1.0M+1.0F",False,795.5769091800003,26689.831506900002,6025.52,6025.52,6206.0,6206.0,102.99526016011895,1506.38,0.0,0,0,1
"Active: 0-4:1.0M, 5-9:1.0M, 10-14:1.0F, 30-49:1.0F",False,1506.3002685400002,17166.380471,3092.05,3092.05,1624.0,1624.0,52.52178975113597,1506.38,0.0,0,0,1
"Active: 5-9:1.0M, 18-29:1.0F, 50+:1.0F",False,-64.23180400000001,15943.126436600001,2616.35,2616.35,5604.0,5604.0,214.19152636306308,634.27,0.0,0,0,1
"Active: 0-4:1.0F, 15-17:1.0M, 18-29:1.0M, 30-49:1.0F",False,4477.614529060001,17257.359523,3884.88,3884.88,4009.0,4009.0,103.19495068058731,3092.05,0.0,0,0,1
"Active: 10-14:1.0M+1.0F, 18-29:1.0F, 30-49:1.0F, 50+:1.0M",False,6255.153287499999,22774.816996100002,4836.28,4836.28,7806.0,7806.0,161.40504685419373,4122.73,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:1.0M+1.0F, 10-14:2.0F, 30-49:1.0M+1.0F",False,1961.404735,27406.7287049,5866.96,5866.96,4142.0,4142.0,70.59874279013322,2140.65,0.0,0,0,1
"Active: 0-4:1.0M, 5-9:2.0F, 10-14:2.0F, 30-49:1.0M+1.0F",False,3129.19656594,25204.4808787,5787.67,5787.67,5730.0,5730.0,99.00357138537615,2537.06,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:1.0M+1.0F, 18-29:1.0M+1.0F",False,1849.68073436,19662.6179749,4202.01,4202.01,4726.0,4726.0,112.46998460260684,1585.66,0.0,0,0,1
"Active: 10-14:1.0M, 18-29:1.0M+1.0F, 30-49:1.0M+1.0F, 50+:1.0M+1.0F",False,-1339.1212997399998,32293.999775000004,7214.77,7214.77,4933.0,4933.0,68.373627988141,634.27,0.0,0,0,1
"Active: 0-4:1.0M+1.0F, 18-29:1.0F, 30-49:1.0M, 50+:1.0F",False,3200.6307594400005,20841.7323025,4122.73,4122.73,3237.0,3237.0,78.51593482959109,2457.78,0.0,0,0,1
"Active: 18-29:1.0F, 50+:2.0F",False,3216.7167987000003,16962.830589099998,2695.63,2695.63,4076.0,4076.0,151.2076954181397,2457.78,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:1.0M+1.0F, 10-14:1.0M+2.0F, 15-17:1.0F, 18-29:2.0M+2.0F, 30-49:1.0F, 50+:1.0M",False,-678.40065848,49863.7305796,12051.05,12051.05,1951.0,1951.0,16.18946066940225,1506.38,0.0,0,0,1
"Active: 5-9:1.0M, 30-49:1.0F, 50+:1.0F",False,2779.4461426,17196.591930000002,2537.06,2537.06,3838.0,3838.0,151.2774628901169,2299.21,0.0,0,0,1
"Active: 0-4:1.0M+2.0F, 5-9:3.0M+1.0F, 30-49:1.0M+1.0F",False,3140.4153028400005,33368.2995541,6818.36,6818.36,3902.0,3902.0,57.22783777917271,3012.76,0.0,0,0,1
"Active: 0-4:1.0M+1.0F, 5-9:1.0F, 10-14:2.0M, 18-29:1.0M, 30-49:1.0M+1.0F",False,2853.4537239,29330.8862641,7135.49,7135.49,2678.0,2678.0,37.53070917344149,2457.78,0.0,0,0,1
"Active: 15-17:1.0F, 18-29:1.0M, 30-49:1.0M+1.0F, 50+:1.0M+1.0F",False,531.6814762600002,28897.638047599998,6184.09,6184.09,6905.0,6905.0,111.65749528224849,1506.38,0.0,0,0,1
"Active: 0-4:1.0M+1.0F, 5-9:1.0F, 10-14:2.0M+1.0F, 30-49:1.0M+1.0F",False,3970.4293586400004,28720.8830964,6818.36,6818.36,4092.0,4092.0,60.01443162285359,3092.05,0.0,0,0,1
"Active: 0-4:1.0M, 15-17:1.0M, 30-49:1.0F",False,3237.2669816400003,12921.5129985,2695.63,2695.63,6581.0,6581.0,244.13587918223197,2299.21,0.0,0,0,1
"Active: 10-14:1.0M, 15-17:2.0M, 50+:1.0M+1.0F",False,4539.7162355,19108.805388599998,5549.82,5549.82,3332.0,3332.0,60.03798321387001,3250.61,0.0,0,0,1
"Active: 10-14:1.0F, 15-17:1.0M, 18-29:1.0F, 30-49:1.0F",False,4897.2743537,18493.3898296,3964.16,3964.16,4531.0,4531.0,114.29912011624153,3329.89,0.0,0,0,1
"Active: 5-9:1.0M, 10-14:1.0M, 18-29:1.0F, 30-49:2.0F, 50+:1.0M+1.0F",False,2600.9560140000003,33975.8373298,6501.22,6501.22,5397.0,5397.0,83.01518791857528,3012.76,0.0,0,0,1
"Active: 10-14:1.0F, 18-29:1.0M, 30-49:1.0F, 50+:1.0M",False,3444.5207526599997,18770.858848,4043.44,4043.44,3641.0,3641.0,90.04708861761273,2537.06,0.0,0,0,1
"Active: 18-29:1.0M+3.0F, 50+:1.0M+1.0F",False,882.8653394600001,28229.1854951,6025.52,6025.52,3510.0,3510.0,58.2522338321008,1506.38,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:3.0M, 10-14:1.0M, 15-17:1.0F, 30-49:1.0M+1.0F",False,-1073.8052818,33849.022890500004,6976.92,6976.92,5565.0,5565.0,79.76298997265269,792.83,0.0,0,0,1
"Active: 5-9:1.0M, 10-14:1.0F, 15-17:1.0M, 30-49:1.0M+1.0F, 50+:1.0F",False,-907.3223523,26638.332140600003,5866.96,5866.96,2954.0,2954.0,50.34975523951075,792.83,0.0,0,0,1
"Active: 5-9:1.0M, 15-17:1.0M, 18-29:1.0F, 30-49:1.0F",False,1207.8963792000002,19282.216884,3884.88,3884.88,2282.0,2282.0,58.74055311875785,1506.38,0.0,0,0,1
"Active: 5-9:1.0F, 10-14:2.0M, 15-17:1.0M, 30-49:1.0F, 50+:1.0M",False,-830.6435931999999,23139.0317696,6025.52,6025.52,977.0,977.0,16.21436822050213,634.27,0.0,0,0,1
"Active: 0-4:3.0M, 5-9:1.0F, 10-14:1.0F, 30-49:1.0M+1.0F",False,1724.22286202,23550.1316773,5311.98,5311.98,3351.0,3351.0,63.08382185173891,1744.23,0.0,0,0,1
"Active: 0-4:1.0M+2.0F, 5-9:2.0F, 30-49:1.0M+1.0F",False,715.1477441400002,24618.5426393,5153.41,5153.41,3505.0,3505.0,68.01321843206732,1506.38,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:1.0M+1.0F, 30-49:1.0M",False,1884.5684886000001,15904.5005203,3250.61,3250.61,2517.0,2517.0,77.43162052660885,1506.38,0.0,0,0,1
"Active: 30-49:1.0M+1.0F, 50+:1.0M",False,4825.7082859,16565.805748,3171.33,3171.33,5974.0,5974.0,188.37522427498874,3171.33,0.0,0,0,1
"Active: 10-14:1.0M, 15-17:1.0F, 18-29:1.0F, 30-49:1.0F",False,84.35006509999994,20430.7945729,3805.59,3805.59,4444.0,4444.0,116.77558538886217,872.12,0.0,0,0,1
"Active: 0-4:1.0M, 5-9:3.0F, 30-49:1.0M+1.0F",False,210.06125733999988,21719.771239299997,4756.99,4756.99,1338.0,1338.0,28.127029907567604,951.4,0.0,0,0,1
"Active: 5-9:2.0F, 15-17:1.0M+1.0F, 18-29:1.0F, 30-49:1.0M+1.0F",False,4968.1723527,28537.916880099998,6659.79,6659.79,8268.0,8268.0,124.14805872257233,3647.03,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:2.0M, 10-14:1.0M, 18-29:1.0F, 30-49:1.0M",False,5662.1827228,24791.998529900004,5311.98,5311.98,4863.0,4863.0,91.54778444195951,3647.03,0.0,0,0,1
"Active: 0-4:1.0M+2.0F, 5-9:1.0F, 10-14:1.0M+3.0F, 15-17:1.0F, 18-29:1.0M, 30-49:1.0M+1.0F",False,-221.07726399999956,41687.450332600005,10227.53,10227.53,2072.0,2072.0,20.259045928000212,1506.38,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:1.0F, 10-14:3.0F, 30-49:1.0M+1.0F",False,4699.3827095,26617.901650500004,5946.24,5946.24,5082.0,5082.0,85.4657733290281,3488.46,0.0,0,0,1
"Active: 0-4:1.0M, 5-9:1.0M+1.0F, 10-14:2.0M, 30-49:1.0M+1.0F",False,2726.96962144,26904.113158300002,6184.09,6184.09,2356.0,2356.0,38.09776377769405,2299.21,0.0,0,0,1
"Active: 10-14:1.0M, 15-17:2.0M, 30-49:1.0M+1.0F",False,1153.4046801000004,20747.2643102,5629.11,5629.11,3365.0,3365.0,59.77854403271565,1506.38,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:1.0M+1.0F, 10-14:1.0M+1.0F, 30-49:1.0M+1.0F",False,3309.8156824999996,27569.0595539,6025.52,6025.52,4401.0,4401.0,73.03933934332638,2774.91,0.0,0,0,1
"Active: 0-4:1.0M+2.0F, 5-9:1.0M+2.0F, 10-14:2.0F, 30-49:1.0M+1.0F",False,-1696.1317095600002,34103.0680303,7690.47,7690.47,1989.0,1989.0,25.863178713394632,634.27,0.0,0,0,1
"Active: 5-9:1.0M+1.0F, 10-14:1.0F, 15-17:1.0F, 18-29:1.0M+1.0F, 30-49:1.0M+1.0F",False,3820.5191398600005,33978.9310475,7531.91,7531.91,4558.0,4558.0,60.51585852725272,3092.05,0.0,0,0,1
"Active: 10-14:1.0M, 18-29:3.0M+1.0F, 30-49:1.0M+1.0F",False,1321.4000776800003,31042.419004100004,7611.19,7611.19,5809.0,5809.0,76.32183666417473,1506.38,0.0,0,0,1
"Active: 0-4:2.0M, 10-14:2.0M, 15-17:2.0F, 30-49:1.0M+1.0F",False,2147.22083728,30914.9485558,7135.49,7135.49,10015.0,10015.0,140.35476190142512,2140.65,0.0,0,0,1
"Active: 10-14:1.0M, 18-29:2.0M+1.0F, 50+:1.0F",False,2323.15819572,22333.768791000002,5232.69,5232.69,5523.0,5523.0,105.54800685689388,1823.51,0.0,0,0,1
"Active: 0-4:1.0M+1.0F, 5-9:2.0F, 30-49:1.0F, 50+:1.0F",False,635.3185375400003,22517.9606738,4281.29,4281.29,4402.0,4402.0,102.81947730707333,1506.38,0.0,0,0,1
"Active: 0-4:2.0M, 5-9:1.0F, 10-14:1.0M, 30-49:1.0M+1.0F",False,-319.89094462,21934.142778399997,4915.56,4915.56,3375.0,3375.0,68.65952200766546,634.27,0.0,0,0,1
"Active: 5-9:1.0M+1.0F, 10-14:2.0M+1.0F, 15-17:1.0F, 30-49:1.0M+1.0F",False,8349.3968906,32140.5252232,7452.62,7452.62,9410.0,9410.0,126.26432046716457,5311.98,0.0,0,0,1
"Active: 0-4:2.0F, 5-9:1.0M, 10-14:1.0M+1.0F, 15-17:1.0F, 18-29:1.0F, 30-49:1.0M+1.0F",False,-27.367791099999977,36430.030128800005,7769.75,7769.75,7098.0,7098.0,91.35429067859326,1506.38,0.0,0,0,1
"Active: 5-9:1.0F, 15-17:1.0M, 18-29:2.0M, 30-49:1.0M+1.0F",False,2744.74458952,24674.8366875,6421.94,6421.94,2291.0,2291.0,35.674578086995524,2219.93,0.0,0,0,1
"Active: 10-14:1.0M, 15-17:1.0M, 18-29:2.0F, 30-49:1.0F, 50+:1.0M",False,628.1341523000001,26668.973157,6184.09,6184.09,2335.0,2335.0,37.758182691390324,1506.38,0.0,0,0,1
"Active: 18-29:1.0M+2.0F, 30-49:2.0F, 50+:1.0M",False,-1506.12961654,30480.649629600004,5946.24,5946.24,1384.0,1384.0,23.275212571305566,634.27,0.0,0,0,1
"Active: 0-4:2.0M, 18-29:1.0M+2.0F, 30-49:1.0F",False,-509.74690596000005,24770.5711536,5074.13,5074.13,2707.0,2707.0,53.34904702875173,634.27,0.0,0,0,1
"Active: 0-4:1.0F, 15-17:2.0F, 30-49:1.0M+1.0F",False,3796.8188495,23842.112130100002,4519.14,4519.14,5512.0,5512.0,121.97010935709005,2933.48,0.0,0,0,1
"Active: 0-4:1.0M+1.0F, 5-9:1.0M+1.0F, 10-14:1.0F, 30-49:1.0M+1.0F",False,5403.60331554,26286.4823406,5549.82,5549.82,4841.0,4841.0,87.22805424320069,3805.59,0.0,0,0,1
"Active: 0-4:2.0M, 5-9:1.0F, 18-29:1.0M+1.0F",False,2134.4602808400005,16926.2673116,3964.16,3964.16,3644.0,3644.0,91.92363577655797,1506.38,0.0,0,0,1
"Active: 5-9:2.0F, 10-14:2.0M+1.0F, 30-49:1.0M+1.0F",False,2859.5398804,26649.388940999997,6421.94,6421.94,5772.0,5772.0,89.87938224274909,2378.5,0.0,0,0,1
"Active: 5-9:1.0M, 15-17:1.0F, 18-29:1.0F, 30-49:1.0M+1.0F",False,-665.8546112000001,25259.373070399997,4756.99,4756.99,1726.0,1726.0,36.28344814683235,634.27,0.0,0,0,1
"Active: 10-14:2.0M, 15-17:1.0M, 30-49:1.0M+1.0F",False,3558.5207154,21467.0694651,5391.26,5391.26,2886.0,2886.0,53.53108549763876,2616.35,0.0,0,0,1
"Active: 5-9:1.0F, 18-29:1.0M, 30-49:1.0F",False,730.12871916,14623.0933092,2774.91,2774.91,6205.0,6205.0,223.61085584757708,951.4,0.0,0,0,1
"Active: 5-9:1.0F, 10-14:1.0M, 15-17:1.0M+1.0F, 30-49:1.0M+1.0F",False,3073.2064825999996,24834.760789499996,6025.52,6025.52,4429.0,4429.0,73.504029527742,2537.06,0.0,0,0,1
"Active: 0-4:2.0M, 5-9:1.0F, 10-14:1.0M+2.0F, 30-49:1.0M+1.0F",False,373.60140258,27731.2750028,6659.79,6659.79,1954.0,1954.0,29.34026448281402,1189.25,0.0,0,0,1
"Active: 15-17:1.0M+1.0F, 50+:1.0M+1.0F",False,-541.8961217000001,17822.9823217,4202.01,4202.01,1941.0,1941.0,46.19217945697416,634.27,0.0,0,0,1
"Active: 5-9:1.0M, 10-14:1.0F, 15-17:1.0F, 18-29:2.0M+1.0F, 50+:1.0F",False,5031.78129702,29974.996809199998,6818.36,6818.36,5044.0,5044.0,73.9767334080336,3488.46,0.0,0,0,1
"Active: 0-4:1.0M+2.0F, 5-9:1.0M, 18-29:1.0F, 30-49:1.0M",False,5243.48391944,22427.6251425,4598.43,4598.43,5924.0,5924.0,128.82657776675953,3488.46,0.0,0,0,1
"Active: 0-4:1.0F, 5-9:1.0M, 18-29:1.0M+1.0F",False,3916.76369576,17350.1953899,3488.46,3488.46,7734.0,7734.0,221.7024130991899,2537.06,0.0,0,0,1
"Active: 0-4:2.0M, 10-14:2.0M+1.0F, 18-29:2.0M+3.0F, 50+:1.0M+1.0F",False,2230.8058023999997,44314.754305400005,11258.22,11258.22,3269.0,3269.0,29.036561730007055,2537.06,0.0,0,0,1
"Active: 0-4:1.0M, 5-9:2.0M+1.0F, 10-14:1.0M, 30-49:1.0M+1.0F",False,-90.89930056000014,27530.6093637,5946.24,5946.24,1908.0,1908.0,32.087504036164034,951.4,0.0,0,0,1
