misparmb,nefashot,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,c32-39 - סך הוצאות לא מזון,F_norm Active cheapest - סך הוצאה נמוכה למספר הסלים,c3~ F_norm active cheapest,,,misparmb,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2,c30+c31^,zl__Fnorm+(Fnorm-(c30+c31^))
13854,10,8214,1331,6884,"7,849.04",TRUE,,,13854,8214,1331,2,2,1,1,2,0,0,0,0,0,1,1,0,0,"1,721.97","13,976.11"
3897,7,8338,2828,5512,"7,611.19",TRUE,,,3897,8338,2828,0,0,0,0,0,0,2,0,1,2,0,0,1,1,"1,341.61","13,880.77"
48298,10,8416,1267,7147,"8,562.59",TRUE,,,48298,8416,1267,0,2,1,1,2,1,0,1,0,0,1,1,0,0,"1,800.11","15,325.07"
66951,11,8742,1867,6875,"9,355.42",TRUE,,,66951,8742,1867,0,3,0,2,2,1,1,0,0,0,1,1,0,0,"2,305.63","16,405.21"
45021,10,8826,1944,6881,"8,324.74",TRUE,,,45021,8826,1944,2,1,1,1,3,0,0,0,0,0,1,1,0,0,"1,209.05","15,440.43"
36046,9,9734,1977,7758,"9,117.57",TRUE,,,36046,9734,1977,0,0,0,1,0,1,1,0,2,2,0,1,1,0,"1,590.11","16,645.03"
86819,11,9777,1266,8512,"9,038.29",TRUE,,,86819,9777,1266,2,1,1,1,2,2,0,0,0,0,1,1,0,0,"1,295.74","16,780.83"
37408,12,10307,2613,7694,"10,544.67",TRUE,,,37408,10307,2613,0,2,1,1,1,2,0,2,1,0,1,1,0,0,"2,141.75","18,947.58"
10686,11,10650,1749,8900,"9,910.40",TRUE,,,10686,10650,1749,1,1,1,1,1,1,0,1,2,0,1,1,0,0,"1,526.45","18,294.36"
81083,11,10716,2148,8568,"10,623.95",TRUE,,,81083,10716,2148,0,1,1,1,3,0,2,0,0,0,1,1,0,1,"1,627.61","19,620.29"
84327,10,10816,4568,6247,"10,465.38",TRUE,,,84327,10816,4568,0,0,0,0,0,0,0,2,2,1,2,1,1,1,"2,667.49","18,263.27"
88385,12,12644,861,11784,"11,892.48",TRUE,,,88385,12644,861,0,0,1,0,2,1,0,1,2,3,0,0,1,1,"1,338.96","22,446.00"
15370,13,12747,1303,11443,"12,209.61",TRUE,,,15370,12747,1303,0,1,1,2,1,2,1,1,2,0,1,1,0,0,"1,570.86","22,848.37"
