misparmb,c3,FoodNorm-active,FoodNorm-sendetary,food_actual,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
79582,2002,"1,109.96",872.12,"4,644.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
27060,2016,951.40,"2,854.20","1,647.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
35170,2021,"2,616.35","2,854.20","1,611.00",0,1,0,0,0,0,0,0,0,0,1,1,0,0
44180,2025,872.12,"2,854.20","7,549.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
48801,2025,"3,329.89","2,854.20","4,543.00",0,1,0,1,0,0,0,0,1,0,0,1,0,0
19133,2049,"1,982.08",634.27,"3,806.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
9969,2077,872.12,872.12,"2,629.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
56192,2086,951.40,634.27,"1,579.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
81240,2125,872.12,"1,744.23","1,871.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
62745,2127,"1,109.96","1,744.23","2,311.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
23002,2142,872.12,"1,506.38","4,356.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
38794,2151,872.12,"1,506.38","6,349.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
26542,2164,872.12,"1,506.38",412.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45377,2172,872.12,"1,506.38",704.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
299,2175,872.12,713.55,"2,006.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
78733,2179,"1,982.08","1,506.38",429.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1
83139,2194,872.12,"1,506.38",873.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69567,2225,951.40,"1,744.23","1,487.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
65722,2238,"1,109.96","1,744.23",582.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20651,2239,872.12,634.27,"1,239.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
9225,2248,872.12,"1,506.38","1,599.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
56184,2259,951.40,"1,506.38","2,299.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
52258,2260,"1,109.96",872.12,822.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17822,2266,951.40,"1,506.38","1,156.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
10223,2277,951.40,"1,506.38","2,039.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
48538,2304,872.12,"1,506.38","1,595.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
80267,2311,951.40,"1,506.38","3,673.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
1925,2319,"1,982.08","1,744.23","1,700.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
68668,2354,951.40,"1,744.23","1,766.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
37861,2370,"1,109.96","1,427.10","3,198.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
50583,2385,872.12,"1,427.10",248.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43232,2387,"1,109.96",634.27,"5,262.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
4333,2390,951.40,"2,378.50","3,402.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
31393,2394,"4,202.01","2,378.50","2,202.00",0,0,0,0,0,0,0,0,2,1,0,0,0,1
17087,2398,872.12,"2,378.50","1,845.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
81620,2405,872.12,"3,092.05","3,671.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
88666,2406,"1,109.96","3,092.05","5,137.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
83642,2408,"1,109.96","3,092.05",28.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9654,2450,872.12,"3,092.05","1,154.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
49098,2462,872.12,"2,061.36","3,033.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
90282,2462,872.12,"2,061.36","3,077.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
