misparmb,c3 - סך כל ההוצאות,F_norm Active cheapest - סך הוצאה נמוכה למספר הסלים,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
65722,2238,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
20651,2239,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9225,2248,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56184,2259,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52258,2260,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
17822,2266,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10223,2277,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48538,2304,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80267,2311,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1925,2319,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
68668,2354,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37861,2370,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
50583,2385,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43232,2387,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
4333,2390,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31393,2394,"4,202.01",0,0,0,0,0,0,0,0,2,1,0,0,0,1
17087,2398,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81620,2405,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88666,2406,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
83642,2408,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
9654,2450,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49098,2462,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90282,2462,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35956,2480,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
69617,2488,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73445,2493,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
45344,2503,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
11536,2523,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
79327,2539,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71928,2562,"2,061.36",0,0,0,0,0,0,0,0,0,0,1,1,0,0
27326,2566,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
79285,2569,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
174,2582,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
46110,2585,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
28332,2587,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38745,2602,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79244,2605,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
84038,2621,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4010,2637,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
23598,2638,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
79210,2647,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
47167,2653,"1,744.23",0,0,0,0,0,0,0,0,0,0,0,1,0,1
63875,2685,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52951,2693,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
81257,2746,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24562,2747,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
4341,2776,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42507,2776,"3,567.74",0,0,0,0,0,0,0,1,0,0,0,1,0,2
13656,2782,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21873,2797,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27755,2811,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
